Name,ID,Experiment,Season,Beh.Cat,Condition,HR_Increase,mean10s
Beats,1,Pre_Feeding,autumn,High,before,4.49033,43.13267286
Beats,1,Pre_Feeding,autumn,High,foodPresentation,6.45756,46.74647625
Beats,1,Pre_Feeding,summer,High,before,NA,65.996605
Beats,1,Pre_Feeding,summer,High,foodPresentation,0.58658,54.26710375
Blue,2,Control,autumn,High,control,NA,44.10421339
Blue,2,Novel_Object,autumn,High,dropObj,NA,43.23204857
Blue,2,Novel_Object,autumn,High,presentationObj,NA,42.59807143
Blue,2,Novel_Object,autumn,High,removeObj,NA,32.6327
Blue,2,Pre_Feeding,autumn,Low,before,7.19748,65.881469
Blue,2,Pre_Feeding,autumn,Low,foodPresentation,38.66022,54.18911778
Blue,2,Control,summer,Low,control,6.12819,34.72350333
Blue,2,Novel_Object,summer,Low,dropObj,10.07161,31.12805
Blue,2,Novel_Object,summer,Low,presentationObj,13.92341,32.15053167
Blue,2,Novel_Object,summer,Low,removeObj,6.81755,32.70629
Blue,2,Pre_Feeding,summer,Low,before,NA,35.07941833
Blue,2,Pre_Feeding,summer,Low,foodPresentation,34.84,56.225072
Bonnie,3,Control,autumn,Low,control,NA,34.31126
Bonnie,3,Novel_Object,autumn,Low,dropObj,NA,45.27484286
Bonnie,3,Novel_Object,autumn,Low,presentationObj,NA,44.30310667
Bonnie,3,Novel_Object,autumn,Low,removeObj,NA,52.22773125
Bonnie,3,Control,summer,High,control,9.73077,32.471048
Bonnie,3,Novel_Object,summer,High,dropObj,6.96893,38.07287667
Bonnie,3,Novel_Object,summer,High,presentationObj,3.55154,36.58985
Bonnie,3,Novel_Object,summer,High,removeObj,14.83298,41.37248571
Boysie,4,Control,autumn,Low,control,NA,44.29144571
Boysie,4,Novel_Object,autumn,Low,dropObj,NA,32.66455
Boysie,4,Novel_Object,autumn,Low,presentationObj,NA,34.482726
Boysie,4,Novel_Object,autumn,Low,removeObj,NA,43.91858143
Boysie,4,Pre_Feeding,autumn,High,before,-0.7495,92.613811
Boysie,4,Pre_Feeding,autumn,High,foodPresentation,24.39041,41.70581
Boysie,4,Control,summer,Low,control,9.70761,42.14586857
Boysie,4,Novel_Object,summer,Low,presentationObj,44.64807,48.41876
Boysie,4,Novel_Object,summer,Low,removeObj,15.48871,35.98851
Boysie,4,Pre_Feeding,summer,High,before,NA,60.02065778
Boysie,4,Pre_Feeding,summer,High,foodPresentation,13.3646,61.679259
Chase,5,Control,autumn,Low,control,NA,45.6502975
Chase,5,Novel_Object,autumn,Low,dropObj,NA,28.799385
Chase,5,Novel_Object,autumn,Low,presentationObj,NA,41.53104286
Chase,5,Novel_Object,autumn,Low,removeObj,NA,47.51199571
Chase,5,Pre_Feeding,autumn,Low,before,26.56105,31.59667333
Chase,5,Pre_Feeding,autumn,Low,foodPresentation,22.92036,45.44172
Chase,5,Control,summer,Low,control,25.39023,52.03780778
Chase,5,Novel_Object,summer,Low,dropObj,19.40287,40.2535
Chase,5,Novel_Object,summer,Low,removeObj,1.55468,35.404895
Chase,5,Pre_Feeding,summer,Low,before,NA,43.73870857
Chase,5,Pre_Feeding,summer,Low,foodPresentation,11.10,48.2089425
Dax,6,Control,autumn,High,control,NA,37.72897333
Dax,6,Novel_Object,autumn,High,dropObj,NA,30.49124
Dax,6,Novel_Object,autumn,High,presentationObj,NA,36.64348
Dax,6,Novel_Object,autumn,High,removeObj,NA,37.57008
Dax,6,Pre_Feeding,autumn,High,before,-0.47835,52.27763111
Dax,6,Pre_Feeding,autumn,High,foodPresentation,6.12309,58.26223375
Dax,6,Control,summer,Low,control,9.76029,41.05992571
Dax,6,Novel_Object,summer,Low,dropObj,19.89994,42.415312
Dax,6,Novel_Object,summer,Low,presentationObj,3.73255,38.72403167
Dax,6,Novel_Object,summer,Low,removeObj,4.42834,35.29311667
Dax,6,Pre_Feeding,summer,High,before,NA,55.68013667
Dax,6,Pre_Feeding,summer,High,foodPresentation,16.44524,66.061181
Dolly,7,Control,autumn,Low,control,NA,46.60282125
Dolly,7,Novel_Object,autumn,Low,dropObj,NA,35.58017333
Dolly,7,Novel_Object,autumn,Low,presentationObj,NA,38.85898571
Dolly,7,Novel_Object,autumn,Low,removeObj,NA,40.20937286
Dolly,7,Pre_Feeding,autumn,High,before,9.96732,52.76866667
Dolly,7,Pre_Feeding,autumn,High,foodPresentation,89.62679,97.70136222
Dolly,7,Control,summer,High,control,10.98537,38.01880714
Dolly,7,Novel_Object,summer,High,dropObj,19.96462,41.67068286
Dolly,7,Novel_Object,summer,High,presentationObj,24.01318,53.14892
Dolly,7,Novel_Object,summer,High,removeObj,NA,55.04571667
Dolly,7,Pre_Feeding,summer,High,before,NA,33.535372
Dolly,7,Pre_Feeding,summer,High,foodPresentation,3.42,33.64537667
Dougal,8,Control,autumn,Low,control,NA,46.59363857
Dougal,8,Novel_Object,autumn,Low,dropObj,-9.38112,53.644065
Dougal,8,Novel_Object,autumn,Low,presentationObj,22.58657486,49.82031966
